date,product,category,region,quantity,unit_price,discount,revenue,cost,profit
2024-03-13,Widget A,Widgets,East,33,12.99,0.05,407.24,202.59,204.65
2024-09-05,Accessory M,Accessories,West,31,14.99,0.2,371.75,173.47,198.28
2025-04-23,Service Basic,Services,West,47,99.0,0,4653.0,2957.81,1695.19
2024-04-21,Service Basic,Services,East,16,99.0,0.05,1504.8,702.1,802.7
2024-09-12,Gadget Y,Gadgets,West,5,79.99,0.25,299.96,204.82,95.14
2024-04-05,Accessory L,Accessories,North,49,29.99,0.05,1396.03,639.67,756.36
2024-06-17,Service Basic,Services,North,25,99.0,0,2475.0,1843.52,631.48
2025-03-09,Service Premium,Services,East,45,249.0,0.25,8403.75,3816.81,4586.94
2024-11-17,Accessory M,Accessories,North,4,14.99,0,59.96,36.24,23.72
2025-06-04,Widget Pro,Widgets,North,6,34.99,0,209.94,89.01,120.93
2024-09-09,Service Basic,Services,North,38,99.0,0,3762.0,2320.34,1441.66
2024-09-24,Accessory S,Accessories,East,14,5.99,0.15,71.28,34.47,36.81
2024-11-19,Gadget Y,Gadgets,West,49,79.99,0,3919.51,1580.58,2338.93
2024-08-06,Widget B,Widgets,North,33,18.5,0.1,549.45,245.25,304.2
2024-10-18,Gadget X,Gadgets,East,11,49.99,0.25,412.42,285.32,127.1
2024-11-02,Accessory L,Accessories,North,43,29.99,0,1289.57,939.61,349.96
2024-10-05,Widget B,Widgets,South,19,18.5,0.05,333.93,217.44,116.49
2024-09-14,Gadget Y,Gadgets,West,4,79.99,0,319.96,199.01,120.95
2024-09-25,Gadget Z,Gadgets,,11,129.0,0.25,1064.25,631.19,433.06
2024-02-06,Widget B,Widgets,South,24,18.5,0,444.0,244.39,199.61
2024-08-03,Widget A,Widgets,East,44,12.99,0.05,542.98,343.94,199.04
2024-08-30,Service Basic,Services,South,11,99.0,,1089.0,771.55,317.45
2024-09-11,Gadget Z,Gadgets,West,18,129.0,0,2322.0,1568.7,753.3
2024-07-23,Service Premium,Services,South,30,249.0,0.15,6349.5,3218.03,3131.47
2025-02-12,Widget A,Widgets,South,22,12.99,0.1,257.2,180.69,76.51
2024-12-05,Accessory L,Accessories,West,2,29.99,0,59.98,42.4,17.58
2024-04-21,Gadget Y,Gadgets,North,39,79.99,0.2,2495.69,1300.23,1195.46
2025-01-29,Accessory S,Accessories,,37,5.99,0.05,210.55,102.99,107.56
2025-01-07,Accessory S,Accessories,South,28,5.99,0,167.72,122.79,44.93
2024-11-03,Accessory L,Accessories,North,33,29.99,0.1,890.7,564.18,326.52
2024-07-15,Accessory S,Accessories,South,27,5.99,0.2,129.38,82.42,46.96
2024-01-01,Gadget Y,Gadgets,West,20,79.99,0.1,1439.82,681.85,757.97
2025-03-28,Gadget Z,Gadgets,West,29,129.0,0.05,3553.95,2057.42,1496.53
2024-10-17,Widget Pro,Widgets,North,33,34.99,0.15,981.47,424.67,556.8
2024-07-22,Gadget Y,Gadgets,South,10,79.99,0,799.9,332.9,467.0
2025-02-28,Widget B,Widgets,West,41,18.5,0.05,720.57,469.39,251.18
2024-04-19,Widget Pro,Widgets,North,50,34.99,0.2,1399.6,667.04,732.56
2024-09-12,Service Premium,Services,North,8,249.0,0.25,1494.0,667.32,826.68
2025-03-29,Accessory S,Accessories,East,40,5.99,0.2,191.68,132.39,59.29
2024-09-22,Service Premium,Services,West,49,249.0,0.05,11590.95,8043.56,3547.39
2024-10-08,Service Premium,Services,South,29,249.0,0,7221.0,4691.78,2529.22
2024-05-21,Accessory S,Accessories,North,10,5.99,0.05,56.91,30.39,26.52
2024-12-04,Service Basic,Services,West,35,99.0,0.25,2598.75,1417.67,1181.08
2025-01-24,Accessory M,Accessories,North,31,14.99,0,464.69,339.2,125.49
2025-05-14,Service Basic,Services,South,15,99.0,,1336.5,738.47,598.03
2024-06-18,Accessory L,Accessories,West,30,29.99,0,899.7,668.7,231.0
2024-03-26,Accessory M,Accessories,North,42,14.99,0.2,503.66,225.39,278.27
2024-08-04,Service Basic,Services,East,30,99.0,0.15,2524.5,1308.01,1216.49
2024-03-24,Service Basic,Services,East,31,99.0,0,3069.0,2032.16,1036.84
2024-02-11,Gadget X,Gadgets,North,49,49.99,0,2449.51,1793.93,655.58
2024-05-09,Widget Pro,Widgets,South,31,34.99,0,1084.69,647.98,436.71
2024-04-27,Gadget Z,Gadgets,South,50,129.0,0,6450.0,4757.86,1692.14
2025-02-10,Gadget Y,Gadgets,West,46,79.99,0.05,3495.56,1491.2,2004.36
2024-05-03,Widget B,Widgets,East,37,18.5,0,684.5,356.98,327.52
2024-01-13,Accessory S,Accessories,East,27,5.99,0.25,121.3,53.0,68.3
2025-03-21,Service Premium,Services,South,12,249.0,0.1,2689.2,1655.39,1033.81
2024-10-01,Service Premium,Services,West,21,249.0,0.05,4967.55,3431.36,1536.19
2025-01-23,Gadget X,Gadgets,West,22,49.99,0,1099.78,630.18,469.6
2024-12-14,Gadget Z,Gadgets,East,18,129.0,0.1,2089.8,1242.44,847.36
2025-05-15,Gadget X,Gadgets,West,36,49.99,0.05,1709.66,1097.11,612.55
2024-10-28,Widget A,Widgets,North,15,12.99,0.2,155.88,100.09,55.79
2025-03-11,Service Premium,Services,East,48,249.0,0.15,10159.2,5314.62,4844.58
2024-07-16,Gadget X,Gadgets,North,21,49.99,0,1049.79,692.87,356.92
2025-05-10,Gadget X,Gadgets,South,18,49.99,0.1,809.84,601.86,207.98
2024-11-05,Gadget Z,Gadgets,South,1,129.0,0,129.0,63.99,65.01
2024-04-15,Widget Pro,Widgets,West,1,34.99,0.1,31.49,17.77,13.72
2025-05-04,Widget A,Widgets,East,8,12.99,0,103.92,56.14,47.78
2024-06-01,Widget A,Widgets,South,37,12.99,0.1,432.57,185.92,246.65
2025-06-19,Service Basic,Services,South,25,99.0,0.25,1856.25,1332.74,523.51
2024-03-02,Service Basic,Services,East,40,99.0,0,3960.0,2897.36,1062.64
2024-06-09,Accessory L,Accessories,North,16,29.99,0,479.84,284.64,195.2
2024-10-25,Accessory M,Accessories,West,3,14.99,0.05,42.72,21.4,21.32
2024-09-27,Widget B,Widgets,South,41,18.5,0.05,720.57,395.45,325.12
2024-03-14,Gadget Y,Gadgets,South,4,79.99,0,319.96,216.75,103.21
2024-05-07,Gadget Y,Gadgets,West,30,79.99,0.1,2159.73,1392.82,766.91
2024-03-23,Service Premium,Services,West,39,249.0,0,9711.0,6907.41,2803.59
2024-08-22,Widget A,Widgets,North,44,12.99,0,571.56,428.58,142.98
2025-04-26,Widget A,Widgets,South,34,12.99,0.25,331.25,238.71,92.54
2024-04-03,Accessory L,Accessories,West,31,29.99,0.15,790.24,429.04,361.2
2025-02-25,Widget Pro,Widgets,East,45,34.99,0.25,1180.91,591.49,589.42
2025-04-10,Accessory S,Accessories,North,6,5.99,0.15,30.55,14.92,15.63
2025-04-18,Accessory S,Accessories,North,27,5.99,0,161.73,75.31,86.42
2024-02-22,Accessory L,Accessories,West,14,29.99,0.1,377.87,223.78,154.09
2024-01-30,Service Premium,Services,,41,249.0,0.05,9698.55,6288.77,3409.78
2024-08-18,Service Basic,Services,North,8,99.0,0.25,594.0,434.49,159.51
2025-03-01,Gadget Y,Gadgets,East,31,79.99,0.25,1859.77,902.56,957.21
2024-03-12,Accessory M,Accessories,South,18,14.99,0.2,215.86,112.02,103.84
2024-11-01,Widget A,Widgets,East,38,12.99,0.25,370.22,260.21,110.01
2025-04-11,Gadget Z,Gadgets,West,21,129.0,0.05,2573.55,1912.85,660.7
2024-11-21,Service Basic,Services,North,48,99.0,0.25,3564.0,2305.3,1258.7
2025-05-22,Accessory L,Accessories,South,3,29.99,0,89.97,51.8,38.17
2025-06-22,Service Premium,Services,North,30,249.0,0,7470.0,4876.83,2593.17
2025-04-25,Widget Pro,Widgets,North,17,34.99,0.15,505.61,312.54,193.07
2024-11-20,Gadget Z,Gadgets,West,41,129.0,0.25,3966.75,2797.88,1168.87
2024-08-20,Accessory L,Accessories,East,48,29.99,0,1439.52,794.46,645.06
2024-06-19,Widget B,Widgets,West,45,18.5,0.1,749.25,536.61,212.64
2025-01-18,Gadget Y,Gadgets,East,28,79.99,0,2239.72,1087.31,1152.41
2024-06-28,Widget Pro,Widgets,South,6,34.99,0.2,167.95,103.61,64.34
2025-04-17,Widget Pro,Widgets,South,41,34.99,0.1,1291.13,724.13,567.0
2024-06-10,Service Premium,Services,East,5,249.0,0.25,933.75,682.41,251.34
2025-04-12,Service Basic,Services,East,20,99.0,0.05,1881.0,1410.34,470.66
2024-10-29,Service Basic,Services,East,45,99.0,0.1,4009.5,1634.59,2374.91
2025-05-23,Widget A,Widgets,North,19,12.99,0.05,234.47,143.61,90.86
2024-05-20,Accessory M,Accessories,East,41,14.99,0,614.59,440.16,174.43
2025-01-08,Service Premium,Services,North,47,249.0,0,11703.0,5050.39,6652.61
2024-05-15,Widget Pro,Widgets,South,35,34.99,0.15,1040.95,609.79,431.16
2024-10-29,Gadget Y,Gadgets,West,48,79.99,0.15,3263.59,2224.08,1039.51
2025-01-09,Gadget X,Gadgets,West,6,49.99,0.2,239.95,97.15,142.8
2025-01-25,Accessory L,Accessories,East,41,29.99,0.15,1045.15,457.69,587.46
2024-08-14,Accessory S,Accessories,East,42,5.99,0,251.58,156.58,95.0
2024-04-29,Accessory L,Accessories,West,9,29.99,0,269.91,197.36,72.55
2024-05-18,Widget B,Widgets,South,25,18.5,0.25,346.88,183.8,163.08
2024-06-07,Accessory S,Accessories,West,27,5.99,0,161.73,111.88,49.85
2025-01-14,Gadget Y,Gadgets,North,14,79.99,0.25,839.89,466.68,373.21
2025-01-02,Accessory L,Accessories,East,4,29.99,0.2,95.97,47.65,48.32
2024-08-05,Service Premium,Services,North,42,249.0,0,10458.0,4368.33,6089.67
2024-03-11,Accessory M,Accessories,South,49,14.99,0.05,697.78,422.32,275.46
2024-10-10,Widget Pro,Widgets,North,10,34.99,0,349.9,206.12,143.78
2024-01-16,Widget A,Widgets,South,23,12.99,,283.83,172.03,111.8
2025-06-22,Widget Pro,Widgets,West,8,34.99,0,279.92,158.63,121.29
2025-05-30,Widget B,Widgets,West,15,18.5,0,277.5,181.63,95.87
2024-02-01,Gadget Y,Gadgets,West,4,79.99,0.25,239.97,167.15,72.82
2024-03-23,Service Premium,Services,North,21,249.0,0,5229.0,2211.81,3017.19
2025-01-25,Accessory S,Accessories,East,39,5.99,0.1,210.25,117.49,92.76
2025-03-16,Widget B,Widgets,South,29,18.5,0.05,509.67,277.69,231.98
2025-03-13,Widget B,Widgets,East,21,18.5,0.1,349.65,185.67,163.98
2024-03-28,Widget B,Widgets,North,6,18.5,0.2,88.8,38.52,50.28
2024-12-03,Accessory S,Accessories,North,43,5.99,0,257.57,140.06,117.51
2024-10-21,Service Basic,Services,North,39,99.0,0.1,3474.9,1817.64,1657.26
2024-08-17,Accessory L,Accessories,West,7,29.99,0.15,178.44,124.17,54.27
2025-03-15,Accessory M,Accessories,South,36,14.99,0,539.64,330.88,208.76
2024-10-06,Widget A,Widgets,South,45,12.99,0.1,526.1,380.13,145.97
2024-03-12,Widget Pro,Widgets,West,10,34.99,0,349.9,151.2,198.7
2024-06-10,Service Premium,Services,East,24,249.0,0.1,5378.4,3509.72,1868.68
2024-06-08,Widget B,Widgets,North,11,18.5,0,203.5,129.4,74.1
2025-02-28,Service Premium,Services,West,18,249.0,0.05,4257.9,2828.23,1429.67
2025-06-23,Gadget Y,Gadgets,West,43,79.99,0.1,3095.61,1287.45,1808.16
2024-11-04,Widget A,Widgets,South,14,12.99,0,181.86,121.38,60.48
2024-06-28,Service Premium,Services,West,9,249.0,0.2,1792.8,1051.3,741.5
2024-03-14,Accessory L,Accessories,East,26,29.99,0,779.74,430.94,348.8
2025-02-18,Gadget Z,Gadgets,West,46,129.0,0.2,4747.2,2379.92,2367.28
2025-01-05,Widget Pro,Widgets,West,6,34.99,0.2,167.95,116.82,51.13
2025-02-09,Accessory S,Accessories,North,20,5.99,0.15,101.83,48.63,53.2
2025-06-27,Accessory L,Accessories,North,33,29.99,0.05,940.19,674.18,266.01
2024-08-29,Accessory L,Accessories,South,7,29.99,0,209.93,102.78,107.15
2024-06-30,Accessory L,Accessories,North,50,29.99,0.25,1124.62,632.47,492.15
2024-11-19,Accessory L,Accessories,East,10,29.99,0.25,224.92,95.34,129.58
2024-12-26,Gadget Y,Gadgets,North,33,79.99,0,2639.67,1342.65,1297.02
2024-04-02,Gadget Y,Gadgets,North,40,79.99,0.2,2559.68,1438.41,1121.27
2024-07-11,Widget A,Widgets,West,21,12.99,0.25,204.59,117.74,86.85
2025-05-31,Gadget Z,Gadgets,North,42,129.0,0,5418.0,2241.43,3176.57
2025-01-07,Accessory S,Accessories,South,24,5.99,0.1,129.38,69.3,60.08
2024-03-08,Widget A,Widgets,East,22,12.99,0,285.78,170.12,115.66
2024-12-07,Accessory L,Accessories,South,6,29.99,0,179.94,129.71,50.23
2024-05-12,Accessory L,Accessories,West,39,29.99,0,1169.61,594.58,575.03
2025-03-09,Widget Pro,Widgets,North,33,34.99,0.15,981.47,398.85,582.62
2024-07-15,Gadget Z,Gadgets,West,15,129.0,0,1935.0,878.94,1056.06
2024-12-10,Accessory S,Accessories,North,50,5.99,0,299.5,182.41,117.09
2025-03-24,Accessory M,Accessories,South,3,14.99,0.2,35.98,18.98,17.0
2025-04-04,Accessory M,Accessories,East,15,14.99,0.05,213.61,108.58,105.03
2025-03-27,Gadget X,Gadgets,East,30,49.99,0.1,1349.73,907.48,442.25
2024-05-21,Widget Pro,Widgets,South,17,34.99,0,594.83,371.42,223.41
2024-10-18,Widget B,Widgets,North,6,18.5,0,111.0,55.0,56.0
2024-08-15,Service Basic,Services,North,29,99.0,0.15,2440.35,1770.88,669.47
2025-01-30,Gadget Z,Gadgets,South,6,129.0,0.15,657.9,314.86,343.04
2024-05-29,Accessory L,Accessories,East,9,29.99,0,269.91,135.07,134.84
2025-04-04,Widget Pro,Widgets,West,40,34.99,,1399.6,1003.58,396.02
2024-04-23,Widget Pro,Widgets,West,50,34.99,0.1,1574.55,760.78,813.77
2024-03-05,Accessory L,Accessories,West,8,29.99,,179.94,109.56,70.38
2024-10-25,Gadget X,Gadgets,South,28,49.99,0,1399.72,861.08,538.64
2025-06-20,Accessory L,Accessories,North,24,29.99,0,719.76,528.08,191.68
2025-02-03,Accessory S,Accessories,North,31,5.99,0,185.69,115.59,70.1
2024-03-10,Widget A,Widgets,East,23,12.99,0.05,283.83,186.34,97.49
2024-02-15,Gadget Z,Gadgets,South,23,129.0,0.15,2521.95,1726.85,795.1
2024-07-05,Service Premium,Services,West,9,249.0,0,2241.0,1458.03,782.97
2024-07-23,Gadget X,Gadgets,North,3,49.99,0.15,127.47,92.63,34.84
2024-09-16,Accessory S,Accessories,West,3,5.99,0.05,17.07,8.54,8.53
2024-10-06,Accessory L,Accessories,East,8,29.99,0.15,203.93,112.76,91.17
2024-07-10,Service Basic,Services,East,32,99.0,0.25,2376.0,1255.89,1120.11
2024-03-21,Widget B,Widgets,West,28,18.5,0,518.0,306.09,211.91
2024-11-09,Accessory L,Accessories,East,29,29.99,0.2,695.77,318.89,376.88
2024-10-08,Gadget Z,Gadgets,West,41,129.0,0,5289.0,2254.51,3034.49
2024-02-01,Accessory L,Accessories,South,10,29.99,0.25,224.92,92.71,132.21
2025-01-27,Gadget Z,Gadgets,East,37,129.0,0,4773.0,2920.04,1852.96
2024-03-19,Gadget Z,Gadgets,West,37,129.0,0,4773.0,2793.69,1979.31
2024-01-27,Gadget X,Gadgets,North,48,49.99,0,2399.52,1378.92,1020.6
2025-04-01,Gadget Y,Gadgets,East,14,79.99,0.1,1007.87,647.95,359.92
2025-04-07,Widget Pro,Widgets,North,12,34.99,0.25,314.91,235.88,79.03
2024-03-07,Gadget Z,Gadgets,East,36,129.0,0.1,4179.6,2975.73,1203.87
2025-01-05,Accessory L,Accessories,South,33,29.99,0.05,940.19,416.01,524.18
2025-01-04,Service Premium,Services,North,36,249.0,0.15,7619.4,4294.23,3325.17
2024-11-12,Widget B,Widgets,North,26,18.5,0.25,360.75,210.68,150.07
2024-11-20,Widget B,Widgets,South,42,18.5,0,777.0,433.17,343.83
2024-05-12,Accessory S,Accessories,South,28,5.99,0,167.72,115.89,51.83
2024-08-18,Widget Pro,Widgets,East,23,34.99,0.1,724.29,504.16,220.13
2024-05-08,Accessory S,Accessories,East,41,5.99,0.1,221.03,135.94,85.09
2024-06-24,Accessory M,Accessories,South,43,14.99,0.15,547.88,380.71,167.17
2024-02-16,Widget A,Widgets,North,42,12.99,0.1,491.02,308.31,182.71
2025-05-24,Accessory L,Accessories,North,41,29.99,0.1,1106.63,691.28,415.35
2024-10-31,Accessory L,Accessories,West,30,29.99,0,899.7,576.72,322.98
2024-12-14,Service Premium,Services,South,39,249.0,0,9711.0,4946.82,4764.18
2024-05-13,Gadget Z,Gadgets,West,49,129.0,0.15,5372.85,3117.56,2255.29
2025-04-05,Widget B,Widgets,East,16,18.5,0,296.0,128.43,167.57
2024-09-11,Accessory M,Accessories,West,11,14.99,0.15,140.16,101.87,38.29
2025-06-11,Widget Pro,Widgets,West,30,34.99,0.25,787.28,557.14,230.14
2024-09-03,Service Basic,Services,West,14,99.0,0.15,1178.1,491.3,686.8
2024-10-19,Accessory L,Accessories,West,35,29.99,0,1049.65,731.09,318.56
2025-01-09,Gadget Z,Gadgets,West,3,129.0,0.2,309.6,129.38,180.22
2025-01-30,Gadget Y,Gadgets,North,33,79.99,0.25,1979.75,1321.57,658.18
2024-05-11,Accessory L,Accessories,North,7,29.99,0.2,167.94,89.11,78.83
2024-07-22,Gadget Z,Gadgets,South,39,129.0,0.2,4024.8,2314.37,1710.43
2025-06-15,Gadget Z,Gadgets,West,30,129.0,0,3870.0,2369.18,1500.82
2024-06-15,Accessory M,Accessories,East,26,14.99,0.1,350.77,213.2,137.57
2025-05-01,Service Premium,Services,East,2,249.0,0.15,423.3,218.39,204.91
2025-04-30,Gadget Y,Gadgets,North,17,79.99,0.05,1291.84,842.91,448.93
2024-05-31,Accessory L,Accessories,West,44,29.99,0.05,1253.58,515.28,738.3
2024-11-17,Widget A,Widgets,West,27,12.99,0,350.73,190.99,159.74
2024-03-04,Accessory M,Accessories,West,46,14.99,0,689.54,400.99,288.55
2024-11-17,Service Premium,Services,West,12,249.0,0.25,2241.0,1611.82,629.18
2025-05-10,Accessory L,Accessories,East,13,29.99,0.05,370.38,184.32,186.06
2024-07-31,Gadget Y,Gadgets,East,45,79.99,0.25,2699.66,1379.43,1320.23
2024-05-04,Gadget Y,Gadgets,East,37,79.99,0.2,2367.7,1689.39,678.31
2024-02-13,Widget Pro,Widgets,East,19,34.99,0,664.81,346.52,318.29
2024-07-25,Service Premium,Services,South,35,249.0,0.1,7843.5,5698.76,2144.74
2024-09-05,Accessory M,Accessories,South,4,14.99,0.05,56.96,35.5,21.46
2024-05-20,Service Premium,Services,North,1,249.0,0,249.0,135.06,113.94
2024-10-21,Service Premium,Services,South,21,249.0,0.1,4706.1,2946.32,1759.78
2024-02-08,Accessory M,Accessories,South,12,14.99,0.2,143.9,101.99,41.91
2024-07-09,Service Basic,Services,West,48,99.0,,4276.8,3023.1,1253.7
2024-10-18,Widget B,Widgets,East,30,18.5,0.25,416.25,296.05,120.2
2024-04-25,Gadget Y,Gadgets,South,22,79.99,0,1759.78,1154.23,605.55
2024-10-29,Widget A,Widgets,East,37,12.99,0.05,456.6,210.69,245.91
2024-03-29,Service Basic,Services,East,26,99.0,0,2574.0,1196.07,1377.93
2024-09-24,Gadget X,Gadgets,North,25,49.99,0.05,1187.26,660.54,526.72
2024-09-24,Accessory M,Accessories,North,42,14.99,0.15,535.14,343.81,191.33
2025-02-19,Gadget Y,Gadgets,South,44,79.99,0.1,3167.6,2032.34,1135.26
2024-08-12,Gadget Z,Gadgets,South,9,129.0,0.25,870.75,394.99,475.76
2024-08-11,Service Basic,Services,West,49,99.0,0.05,4608.45,2940.74,1667.71
2025-06-24,Accessory S,Accessories,West,46,5.99,0.15,234.21,100.09,134.12
2024-06-02,Accessory S,Accessories,South,11,5.99,0.15,56.01,39.15,16.86
2024-04-03,Accessory M,Accessories,West,33,14.99,0.25,371.0,253.41,117.59
2025-04-18,Service Premium,Services,North,44,249.0,0.1,9860.4,6440.3,3420.1
2024-02-16,Gadget X,Gadgets,North,28,49.99,0.15,1189.76,767.56,422.2
2024-02-02,Widget B,Widgets,West,19,18.5,0.2,281.2,130.19,151.01
2025-01-18,Accessory L,Accessories,West,25,29.99,0.25,562.31,396.07,166.24
2024-12-22,Accessory L,Accessories,South,8,29.99,0,239.92,179.34,60.58
2024-01-24,Gadget X,Gadgets,North,20,49.99,0.25,749.85,476.7,273.15
2025-04-16,Gadget X,Gadgets,South,23,49.99,0,1149.77,570.83,578.94
2025-03-05,Widget B,Widgets,North,40,18.5,0,740.0,358.33,381.67
2024-09-07,Service Premium,Services,North,48,249.0,0,11952.0,6463.56,5488.44
2025-05-30,Widget A,Widgets,South,19,12.99,0.05,234.47,160.74,73.73
2024-08-30,Accessory M,Accessories,East,20,14.99,0,299.8,223.35,76.45
2024-06-28,Gadget Y,Gadgets,North,41,79.99,0.2,2623.67,1559.9,1063.77
2025-06-21,Accessory L,Accessories,West,21,29.99,0.2,503.83,273.52,230.31
2024-09-03,Accessory S,Accessories,West,15,5.99,0.1,80.87,56.62,24.25
2025-03-02,Widget A,Widgets,West,36,12.99,0,467.64,250.63,217.01
2025-01-14,Widget B,Widgets,West,6,18.5,0.05,105.45,44.08,61.37
2024-07-11,Widget A,Widgets,North,49,12.99,0.05,604.68,343.33,261.35
2024-07-13,Widget A,Widgets,South,48,12.99,0,623.52,412.4,211.12
2025-02-10,Accessory M,Accessories,South,16,14.99,0.15,203.86,136.88,66.98
2024-09-24,Gadget Z,Gadgets,East,24,129.0,0.25,2322.0,1307.52,1014.48
2025-01-14,Gadget Z,Gadgets,South,21,129.0,0.2,2167.2,901.56,1265.64
2025-03-03,Widget A,Widgets,East,19,12.99,0,246.81,115.67,131.14
2024-12-11,Gadget X,Gadgets,West,17,49.99,0.25,637.37,470.56,166.81
2024-06-22,Widget Pro,Widgets,East,9,34.99,0.25,236.18,109.69,126.49
2024-03-17,Widget A,Widgets,North,43,12.99,0,558.57,372.86,185.71
2024-06-03,Gadget X,Gadgets,North,1,49.99,0.05,47.49,27.4,20.09
2025-05-14,Accessory L,Accessories,,2,29.99,0,59.98,35.16,24.82
2024-01-18,Gadget Y,Gadgets,East,33,79.99,0.2,2111.74,1440.54,671.2
2024-09-03,Widget B,Widgets,South,13,18.5,0.1,216.45,148.34,68.11
2025-04-15,Gadget Z,Gadgets,West,37,129.0,0.05,4534.35,3385.26,1149.09
2024-04-05,Widget B,Widgets,North,26,18.5,0.2,384.8,204.72,180.08
2025-05-26,Widget Pro,Widgets,North,28,34.99,0.15,832.76,498.03,334.73
2024-08-23,Accessory S,Accessories,North,14,5.99,0.25,62.89,31.12,31.77
2024-07-02,Gadget Y,Gadgets,North,21,79.99,0,1679.79,1237.19,442.6
2024-11-02,Service Basic,Services,North,11,99.0,0.05,1034.55,619.02,415.53
2025-01-28,Accessory S,Accessories,East,49,5.99,0,293.51,198.61,94.9
2024-04-10,Gadget Z,Gadgets,North,28,129.0,0.05,3431.4,2379.8,1051.6
2024-11-30,Accessory M,Accessories,West,2,14.99,0.1,26.98,18.19,8.79
2025-03-18,Accessory S,Accessories,West,12,5.99,0.2,57.5,24.72,32.78
2024-10-01,Widget B,Widgets,North,10,18.5,0.2,148.0,96.06,51.94
2024-04-19,Gadget Z,Gadgets,East,6,129.0,0,774.0,565.05,208.95
2024-03-30,Widget B,Widgets,South,12,18.5,0.2,177.6,98.94,78.66
2024-12-28,Widget A,Widgets,North,36,12.99,0,467.64,284.76,182.88
2025-02-27,Widget A,Widgets,East,25,12.99,0,324.75,212.29,112.46
2025-01-24,Gadget X,Gadgets,South,11,49.99,0,549.89,271.71,278.18
2024-10-09,Widget Pro,Widgets,West,27,34.99,0.1,850.26,484.21,366.05
2024-07-19,Gadget X,Gadgets,West,30,49.99,,1499.7,671.0,828.7
2024-12-03,Accessory M,Accessories,West,29,14.99,0.15,369.5,203.49,166.01
2024-11-03,Accessory M,Accessories,South,21,14.99,0.05,299.05,169.76,129.29
2025-05-17,Gadget Z,Gadgets,East,37,129.0,0.05,4534.35,2330.93,2203.42
2024-07-23,Gadget Z,Gadgets,North,38,129.0,0,4902.0,3130.41,1771.59
2025-03-24,Service Premium,Services,South,19,249.0,0,4731.0,3248.48,1482.52
2024-11-06,Service Premium,Services,South,16,249.0,0.1,3585.6,2260.84,1324.76
2025-05-05,Widget B,Widgets,West,38,18.5,0.2,562.4,330.14,232.26
2025-01-03,Service Basic,Services,North,45,99.0,0,4455.0,1952.53,2502.47
2025-02-13,Widget Pro,Widgets,,49,34.99,0.15,1457.33,1075.51,381.82
2025-06-06,Gadget Y,Gadgets,South,48,79.99,0.05,3647.54,2028.11,1619.43
2024-12-19,Accessory M,Accessories,South,2,14.99,0.25,22.48,9.81,12.67
2024-12-22,Widget B,Widgets,South,20,18.5,0.15,314.5,175.92,138.58
2025-03-24,Service Premium,Services,North,47,249.0,0.25,8777.25,4490.6,4286.65
2024-12-17,Widget B,Widgets,North,42,18.5,0,777.0,494.95,282.05
2024-06-12,Gadget X,Gadgets,South,22,49.99,0.2,879.82,647.07,232.75
2025-03-18,Widget Pro,Widgets,South,26,34.99,0,909.74,598.69,311.05
2024-01-05,Service Basic,Services,West,46,99.0,0.05,4326.3,2042.12,2284.18
2024-07-10,Widget B,Widgets,North,24,18.5,0.15,377.4,176.99,200.41
2025-02-01,Service Premium,Services,East,40,249.0,0.2,7968.0,4824.24,3143.76
